index,x,y,radius,angleStart,angleEnd,Rotation
A1,1.88,-3.73,0.617,-1.5708,0.0,CCW 
A2,0.231,-4.034,0.304,-3.1416,-1.5708,CCW 
A3,-0.235,-4.034,0.304,-1.5708,0.0,CCW 
A4,-1.824,-4.034,0.304,-3.1416,-1.5708,CCW 
A5,-2.289,-4.034,0.304,-1.5708,0.0,CCW 
A6,-2.289,-3.73,0.617,-3.1416,-1.5708,CCW 
A7,-2.289,-3.73,0.466,-3.1416,-1.5708,CW
A8,-2.289,-4.034,0.152,-1.5708,0.0,CW
A9,-1.824,-4.034,0.152,-3.1416,-1.5708,CCW 
A10,-0.235,-4.034,0.152,-1.5708,0.0,CW
A11,0.231,-4.034,0.152,-3.1416,-1.5708,CW
A12,1.88,-3.73,0.466,-1.5708,0.0,CW
A13,2.184,-3.184,0.304,-1.5708,0.0,CCW 
A14,2.184,-3.184,0.152,-1.5708,0.0,CW
A15,0.949,-2.88,0.466,-1.5708,-0.1553,CW
A16,0.231,-3.649,0.304,1.5708,3.1416,CCW 
A17,0.231,-3.649,0.152,1.5708,3.1416,CW
A18,-0.235,-3.649,0.304,0.0,1.5708,CCW 
A19,-0.235,-3.649,0.152,0.0,1.5708,CW
A20,-1.824,-3.649,0.304,1.5708,3.1416,CCW 
A21,-1.824,-3.649,0.152,1.5708,3.1416,CW
A22,-1.824,-3.184,0.304,-3.1416,-1.5708,CCW 
A23,-1.824,-3.184,0.152,-3.1416,-1.5708,CW
A24,-0.235,-3.184,0.304,-1.5708,0.0,CCW 
A25,-0.235,-3.184,0.152,-1.5708,0.0,CW
A26,0.231,-3.184,0.304,-3.1416,-1.5708,CCW 
A27,0.231,-3.184,0.152,-3.1416,-1.5708,CW
A28,1.87,-3.022,0.466,1.7261,2.9864,CCW 
A29,1.718,-2.111,0.466,-1.4155,0.0,CW
A30,1.334,-2.728,1.002,0.0878,0.4475,CW
A31,3.499,-2.728,1.002,2.6941,3.0538,CW
A32,2.336,-2.111,0.304,-0.6288,0.0,CCW 
A33,2.498,-2.111,0.304,-3.1416,-2.5128,CCW 
A34,-1.692,-2.799,0.617,0.0,1.5708,CCW 
