id,paths
A1,"{'S1': ['S26', 'A110'], 'S26': ['S1'], 'A110': ['S1']}"
A2,"{'S15': ['S1'], 'S1': ['S15']}"
A3,"{'S5': ['S16'], 'S16': ['S5']}"
A4,"{'S9': ['S5'], 'S5': ['S9']}"
A5,"{'A6': ['S10'], 'S10': ['A6']}"
A6,"{'S37': ['S7', 'A5'], 'S7': ['S37'], 'A5': ['S37']}"
A7,"{'S36': ['S8', 'A8'], 'S8': ['S36'], 'A8': ['S36']}"
A8,"{'A7': ['S9'], 'S9': ['A7']}"
A9,"{'S10': ['S6'], 'S6': ['S10']}"
A10,"{'S6': ['S15'], 'S15': ['S6']}"
A11,"{'S16': ['S2'], 'S2': ['S16']}"
A12,"{'S2': ['S27', 'A111'], 'S27': ['S2'], 'A111': ['S2']}"
A13,"{'S21': ['S28'], 'S28': ['S21']}"
A14,"{'S23': ['S29'], 'S29': ['S23']}"
A15,"{'S22': ['A28'], 'A28': ['S22']}"
A16,"{'S22': ['S15'], 'S15': ['S22']}"
A17,"{'S21': ['S16'], 'S16': ['S21']}"
A18,"{'S16': ['S14', 'S141', 'S999'], 'S14': ['S16'], 'S141': ['S16'], 'S999': ['S16']}"
A19,"{'S15': ['S13'], 'S13': ['S15']}"
A20,"{'S14': ['S9'], 'S143': ['S9'], 'S999A': ['S9'], 'S9': ['S14', 'S143', 'S999A']}"
A21,"{'S13': ['S10'], 'S10': ['S13']}"
A22,"{'S35': ['S13'], 'S13': ['S35']}"
A23,"{'S34': ['S14', 'S143', 'S999A'], 'S14': ['S34'], 'S143': ['S34'], 'S999A': ['S34']}"
A24,"{'S13': ['S30'], 'S30': ['S13']}"
A25,"{'S14': ['S31'], 'S141': ['S31'], 'S999': ['S31'], 'S31': ['S14', 'S141', 'S999']}"
A26,"{'S31': ['S21'], 'S21': ['S31']}"
A27,"{'S30': ['S22'], 'S22': ['S30']}"
A28,"{'A29': ['A15'], 'A15': ['A29']}"
A29,"{'A28': ['S50'], 'S50': ['A28']}"
A30,"{'S29': ['A33'], 'A33': ['S29']}"
A31,"{'A32': ['S28'], 'S28': ['A32']}"
A32,"{'A31': ['S52'], 'S52': ['A31']}"
A33,"{'S50': ['A30'], 'A30': ['S50']}"
A34,"{'S32': ['S43'], 'S43': ['S32']}"
A35,"{'S33': ['S42'], 'S42': ['S33']}"
